index,firstname,lastname,countrycode,country,sex,type,rule,infractiondate,ineligibleyears,sanction,ineligabletodate,actualyear,yeargap,occurance,a,b,c,year
71,Sourabh,Vij,IND,India,M,AAF,Testosterone,4/8/2012,4,4 years ineligibility,4/30/2016,4.1,0.1,34,Testosterone,,,2012
72,S.,Velayutham,IND,India,M,AAF,Testosterone,8/19/2014,2,2 years ineligibility,9/9/2016,2.1,0.1,34,Testosterone,,,2014
73,Jitinder,Singh,IND,India,M,AAF,Methandienone,10/21/2010,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,34,Methandienone,,,2010
74,Jagdish,Patel,IND,India,M,AAF,Norandrosterone,8/28/2013,6,6 years ineligibility,9/11/2019,6,0,34,Norandrosterone,,,2013
75,Baba,Mohammed,IND,India,M,AAF,Stanozolol,7/8/2014,2,2 years ineligibility,7/24/2016,2,0,34,Stanozolol,,,2014
76,,Sandeep,IND,India,M,AAF,Stanozolol,9/4/2014,2,2 years ineligibility,9/18/2016,2,0,34,Stanozolol,,,2014
77,Sathish,Kumar,IND,India,M,AAF,Stanozolol & Testosterone,11/30/2014,2,2 years ineligibility,12/25/2015,1.1,-0.9,34,Stanozolol,Testosterone,,2014
78,Nadia,Noujani,MAR,Morocco,F,AAF,EPO,4/26/2014,2,2 years ineligibility,7/1/2016,2.2,0.2,16,EPO,,,2014
79,Khadija,Sammah,MAR,Morocco,F,AAF,GW1516,1/25/2015,4,4 years ineligibility,3/24/2019,4.2,0.2,16,GW1516,,,2015
80,Halima,Hachlaf,MAR,Morocco,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,10/14/2013,4,4 years ineligibility,12/18/2017,4.2,0.2,16,Use/attempted use of a prohibited substance/method,,,2013
81,Mariem,Alaoui Selsouli,MAR,Morocco,F,AAF,Furosemide,7/6/2012,8,8 years ineligibility,7/24/2020,8.1,0.1,16,Furosemide,,,2012
82,Mouna,Tabsart,MAR,Morocco,F,AAF,Mesterolone,2/16/2014,8,8 years ineligibility,4/6/2022,8.1,0.1,16,Mesterolone,,,2014
83,Ahmed,Baday,MAR,Morocco,M,ABP,Use/attempted use of a prohibited substance/method,3/26/2010,2,2 years ineligibility,12/30/2016,6.8,4.8,16,Use/attempted use of a prohibited substance/method,,,2010
84,Abderrahime,Bouramdane,MAR,Morocco,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,4/14/2011,2,2 years ineligibility,10/1/2017,6.5,4.5,16,Use/attempted use of a prohibited substance/method,,,2011
85,Hafid,Chani,MAR,Morocco,M,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,3/19/2011,4,4 years ineligibility,3/10/2019,8,4,16,Use/attempted use of a prohibited substance/method,,,2011
86,Mohamed,El Hachimi,MAR,Morocco,M,AAF,CERA,1/19/2014,6,6 years ineligibility,2/19/2021,7.1,1.1,16,CERA,,,2014
87,Abdelkrim,Boubker,MAR,Morocco,M,AAF,CERA,5/23/2014,2,2 years ineligibility,10/26/2016,2.4,0.4,16,CERA,,,2014
88,Abderrahim,El Asri,MAR,Morocco,M,AAF,EPO,2/16/2014,2,2 years ineligibility,4/15/2016,2.2,0.2,16,EPO,,,2014
89,Lahlal,El Hassane,MAR,Morocco,M,AAF,EPO,12/28/2014,4,4 years ineligibility,3/10/2019,4.2,0.2,16,EPO,,,2014
90,Aziz,Makhrout,MAR,Morocco,M,IAAF Rule 32.2c,Refusal to submit to doping control,4/8/2014,2,2 years ineligibility,6/7/2016,2.2,0.2,16,Refusal to submit to doping control,,,2014
91,Ahmed,Mainy,MAR,Morocco,M,AAF,Clenbuterol,2/25/2015,4,4 years ineligibility,4/13/2019,4.1,0.1,16,Clenbuterol,,,2015
92,Youssef,Bouissane,MAR,Morocco,M,AAF,EPO,12/28/2014,2,2 years ineligibility,1/26/2017,2.1,0.1,16,EPO,,,2014
93,Yahya,Berrabah,MAR,Morocco,M,AAF,EPO (2nd ADRV),11/23/2011,4,4 years ineligibility,1/5/2016,4.1,0.1,16,EPO (2nd ADRV),,,2011
94,Viola Chelangat,Kimetto,KEN,Kenya,F,AAF,Norandrosterone,12/1/2013,2,2 years ineligibility,10/11/2016,2.9,0.9,15,Norandrosterone,,,2013
95,Jacqueline Nytepi,Kiplimo,KEN,Kenya,F,AAF,Norandrosterone,4/7/2013,2,2 years ineligibility,1/4/2016,2.7,0.7,15,Norandrosterone,,,2013
96,Alice,Ndirangu,KEN,Kenya,F,AAF,Methandienone & Clenbuterol,12/16/2012,4,4 years ineligibility,5/25/2017,4.4,0.4,15,Methandienone,Clenbuterol,,2012
97,Emily Perpetua,Chepkorir,KEN,Kenya,F,AAF,Norandrosterone,1/26/2014,2,2 years ineligibility,4/5/2016,2.2,0.2,15,Norandrosterone,,,2014
98,Josephine Jepkoech,Jepkorir,KEN,Kenya,F,AAF,Norandrosterone,12/31/2014,2,2 years ineligibility,3/14/2017,2.2,0.2,15,Norandrosterone,,,2014
99,Rita Jeptoo,Sitienei,KEN,Kenya,F,AAF,EPO,9/25/2014,2,2 years ineligibility,10/29/2016,2.1,0.1,15,EPO,,,2014
100,Agatha Jeruto,Kimaswai,KEN,Kenya,F,AAF,Norandrosterone,4/14/2015,4,4 years ineligibility,5/19/2019,4.1,0.1,15,Norandrosterone,,,2015
101,Julia Mumbi,Muraga,KEN,Kenya,F,AAF,EPO,9/14/2014,2,2 years ineligibility,9/13/2016,2,0,15,EPO,,,2014
102,James Maunga,Nyankabaria,KEN,Kenya,M,AAF,Norandrosterone,12/2/2012,2,2 years ineligibility,11/14/2015,3,1,15,Norandrosterone,,,2012
103,Isaac Kemboi,Kimaiyo,KEN,Kenya,M,AAF,Norandrosterone,5/19/2013,2,2 years ineligibility,3/22/2016,2.8,0.8,15,Norandrosterone,,,2013
104,Julius Kiprono,Mutai,KEN,Kenya,M,AAF,Norandrosterone,12/1/2013,2,2 years ineligibility,5/7/2016,2.4,0.4,15,Norandrosterone,,,2013
105,Benjamin Kiprop,Serem,KEN,Kenya,M,AAF,Nandrolone,11/10/2013,2,2 years ineligibility,1/27/2016,2.2,0.2,15,Nandrolone,,,2013
106,Philip,Kandie,KEN,Kenya,M,AAF,Testosterone & Norandrosterone; Use/attempted use of a prohibited substance/method,1/26/2014,2,2 years ineligibility,3/15/2016,2.1,0.1,15,Testosterone,Norandrosterone,Use/attempted use of a prohibited substance/method,2014
107,Stephen Kibet,Tanui,KEN,Kenya,M,AAF,Norandrosterone,1/26/2014,2,2 years ineligibility,1/25/2016,2,0,15,Norandrosterone,,,2014
108,Joseph,Mutinda,KEN,Kenya,M,AAF,Norandrosterone,2/16/2014,3,3 years ineligibility,2/15/2017,3,0,15,Norandrosterone,,,2014
109,Pinar,Saka,TUR,Turkey,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,6/18/2010,3,3 years ineligibility,6/2/2016,6,3,13,Use/attempted use of a prohibited substance/method,,,2010
110,Asli,Cakir Alptekin,TUR,Turkey,F,IAAF Rule 32.2f; IAAF Rule 32.2b,Possession of a prohibited substance/method; Use/attempted use of a prohibited substance/method,7/29/2010,8,8 years ineligibility,1/9/2021,10.5,2.5,13,Possession of a prohibited substance/method,Use/attempted use of a prohibited substance/method,,2010
111,Gokce,Celenk,TUR,Turkey,F,AAF,Stanozolol & Dehydrochloromethyltestosterone,5/12/2013,2,2 years and 6 months ineligibility,12/13/2015,2.6,0.6,13,Stanozolol,Dehydrochloromethyltestosterone,,2013
112,Burcu,Akmazoglu,TUR,Turkey,F,AAF,Stanozolol & Dehydrochloromethyltestosterone,5/12/2013,2.5,2 years and 6 months,12/13/2015,2.6,0.1,13,Stanozolol,Dehydrochloromethyltestosterone,,2013
113,Dilek,Esmer,TUR,Turkey,F,AAF,Stanozolol & Dehydrochloromethyltestosterone,6/2/2013,2.5,2 years and 6 months ineligibility,12/24/2015,2.6,0.1,13,Stanozolol,Dehydrochloromethyltestosterone,,2013
114,Emel,Gungor,TUR,Turkey,F,AAF,Stanozolol & Dehydrochloromethyltestosterone,5/30/2013,2.5,2 years and 6 months ineligibility,12/26/2015,2.6,0.1,13,Stanozolol,Dehydrochloromethyltestosterone,,2013
115,Nevin,Yanit,TUR,Turkey,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,2/7/2013,3,3 years ineligibility,3/5/2016,3.1,0.1,13,Use/attempted use of a prohibited substance/method,,,2013
116,Surreya,Ayhan-Kop,TUR,Turkey,F,AAF,Stanozolol,9/8/2007,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,13,Stanozolol,,,2007
117,Binnaz,Uslu,TUR,Turkey,F,AAF,Stanozolol,8/30/2011,100,Lifetime ban,Lifetime ban,100,0,13,Stanozolol,,,2011
118,Kaan,Sencan,TUR,Turkey,M,AAF,"Stanozolol, Drostanolone & Dehydrochloromethyltestosterone",6/1/2013,2.5,2 years and 6 months ineligibility,12/24/2015,2.6,0.1,13,Stanozolol,Drostanolone,Dehydrochloromethyltestosterone,2013
119,Fatih,Eryildirim,TUR,Turkey,M,AAF,Stanozolol & Dehydrochloromethyltestosterone,6/7/2013,2.5,2 years and 6 months ineligibility,12/25/2015,2.6,0.1,13,Stanozolol,Dehydrochloromethyltestosterone,,2013
120,Isa,Can,TUR,Turkey,M,AAF,Methandienone & Stanozolol,5/25/2013,2.5,2 years and 6 months ineligibility,12/25/2015,2.6,0.1,13,Methandienone,Stanozolol,,2013
121,Mehmet,Yarimay,TUR,Turkey,M,AAF,Clomiphene,4/22/2014,2,2 years ineligibility,5/19/2016,2.1,0.1,13,Clomiphene,,,2014
122,Simone Alves,Da Silva,BRA,Brazil,F,AAF,EPO,8/3/2011,5,5 years ineligibility (2nd ADRV),10/13/2016,5.2,0.2,12,EPO,,,2011
123,Guza Reze Reze,De Aquino Silva,BRA,Brazil,F,AAF,Prednisolone & Gestrinone,8/24/2014,1.5,18 months,2/23/2016,1.5,0,12,Prednisolone,Gestrinone,,2014
124,Eloita Catarina,Possati Michiuye,BRA,Brazil,F,AAF,Oxandrolone & Testosterone,11/17/2013,2,2 years ineligibility,11/16/2015,2,0,12,Oxandrolone,Testosterone,,2013
125,Vanda,Gomes,BRA,Brazil,F,AAF,Anastrozole,9/25/2014,2,2 years ineligibility,9/24/2016,2,0,12,Anastrozole,,,2014
126,Bruno,Lazaretti,BRA,Brazil,M,AAF,EPO,4/5/2015,3,3 years and 6 months ineligibility,10/4/2018,3.5,0.5,12,EPO,,,2015
127,Eilas,Bastos,BRA,Brazil,M,AAF,Methyltestosterone,4/6/2014,2,2 years ineligibility,7/7/2016,2.3,0.3,12,Methyltestosterone,,,2014
128,Jose Roberto,Pereira De Jesus,BRA,Brazil,M,AAF,"Methyltestosterone, Tamoxifen & Chlortalidone",11/3/2013,2,2 years ineligibility,11/2/2015,2,0,12,Methyltestosterone,Tamoxifen,Chlortalidone,2013
129,Jamil,Da Silva Santos,BRA,Brazil,M,AAF,Exogenous Steroids,6/3/2014,2,2 years ineligibility,6/2/2016,2,0,12,Exogenous Steroids,,,2014
130,Ivanildo,Dos Anjos,BRA,Brazil,M,AAF,Hydrochlorothiazide,8/3/2014,1.5,18 months ineligibility,2/2/2016,1.5,0,12,Hydrochlorothiazide,,,2014
131,Marcelo,Moreira,BRA,Brazil,M,AAF,Mephentermine,4/18/2009,100,Lifetime ban,Lifetime ban,100,0,12,Mephentermine,,,2009
132,Daniel,Lopez Ferreira,BRA,Brazil,M,AAF,Phentermine,8/9/2009,100,Lifetime ineligibility,Lifetime ban,100,0,12,Phentermine,,,2009
133,Silvano,Lima Pinto,BRA,Brazil,M,IAAF Rule 32.2c,Refusal to submit to doping control,8/24/2014,2,2 years ineligibility,8/23/2016,2,0,12,Refusal to submit to doping control,,,2014
134,Yuliya,Ruban,UKR,Ukraine,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,3/8/2012,2,2 years ineligibility,2/24/2017,5,3,12,Use/attempted use of a prohibited substance/method,,,2012
135,Svitlana,Shmidt,UKR,Ukraine,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,3/8/2012,4,4 years ineligibility,3/16/2019,7,3,12,Use/attempted use of a prohibited substance/method,,,2012
136,Lyudmila,Yosypenko,UKR,Ukraine,F,IAAF Rule 32.2b,Use/attempted use of a prohibited substance/method,8/25/2011,4,4 years ineligibility,3/26/2017,5.6,1.6,12,Use/attempted use of a prohibited substance/method,,,2011
137,Mariya,Ryemyen,UKR,Ukraine,F,AAF,Methandienone,1/10/2014,2,2 years ineligibility,3/2/2016,2.1,0.1,12,Methandienone,,,2014
138,Tetyana,Vernyhor,UKR,Ukraine,F,AAF,Methylhexaneamine,4/19/2015,1,1 year ineligibility,6/1/2016,1.1,0.1,12,Methylhexaneamine,,,2015
139,Darya,Pizhankova,UKR,Ukraine,F,AAF,Drostanolone,8/14/2013,100,Lifetime ban,Lifetime ban,100,0,12,Drostanolone,,,2013
140,Lyudmila,Blonska,UKR,Ukraine,F,AAF,Methyltestosterone,8/16/2008,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,12,Methyltestosterone,,,2008
141,Vita,Pavlysh,UKR,Ukraine,F,AAF,Stanozolol,3/5/2004,100,Lifetime ban,Lifetime ban,100,0,12,Stanozolol,,,2004
142,Andriy,Kozyr,UKR,Ukraine,M,AAF,Stanozolol & Dehydrochloromethyltestosterone,2/20/2015,4,4 years ineligibility,3/22/2019,4.1,0.1,12,Stanozolol,Dehydrochloromethyltestosterone,,2015
143,Andrii,Borodkin,UKR,Ukraine,M,AAF,Stanozolol,6/3/2014,4,4 years ineligibility,7/26/2018,4.1,0.1,12,Stanozolol,,,2014
144,Roman,Avramenko,UKR,Ukraine,M,AAF,Dehydrochloromethyltestosterone,8/17/2013,2,2 years ineligibility,8/27/2015,2,0,12,Dehydrochloromethyltestosterone,,,2013
145,Vladyslav,Piskunov,UKR,Ukraine,M,AAF,Drostanolone,8/8/2005,100,Lifetime ban (2nd ADRV),Lifetime ban,100,0,12,Drostanolone,,,2005
146,Veronica,Pennavaria,ITA,Italy,F,IAAF rule 32.2c,Refusal to submit to doping control,7/6/2014,2,2 years ineligibility,3/4/2017,2.7,0.7,10,Refusal to submit to doping control,,,2014
147,Graziella,Persico,ITA,Italy,F,AAF,Betamehasone,7/6/2014,2,2 years ineligibility,7/5/2016,2,0,10,Betamehasone,,,2014
148,Gaetano,Civiello,ITA,Italy,M,"IAAF Rules 32.2b , 32.2f & 32.2g","Use, possession & trafficking of prohibited substances",1/1/2007,12,12 years ineligibility,4/19/2022,15.3,3.3,10,Use/ possession and trafficking of prohibited substances,,,2007
149,Corrado,Cultrera,ITA,Italy,M,IAAF Rule 32.2e,Tampering,7/6/2014,2.25,2 years and 3 months ineligibility,6/19/2017,3,0.7,10,Tampering,,,2014
150,Maksym,Cerrone Obrubanskyy,ITA,Italy,M,AAF,Furosemide & Tuaminoheptane; Use/attempted use of a prohibited substance/method,2/17/2013,4,4 years ineligibility,5/29/2017,4.3,0.3,10,Furosemide,Tuaminoheptane,Use/attempted use of a prohibited substance/method,2013
151,Giuseppe,Baldelli,ITA,Italy,M,AAF,Betamethasone & Anastrozole,4/6/2014,3.3,3 years and 4 months ineligibility,8/5/2017,3.3,0,10,Betamethasone,Anastrozole,,2014
152,Roberto,Barbi,ITA,Italy,M,AAF,Ephedrine & EPO,7/20/2008,100,Lifetime ban as from 10.03.09 (3 ADRV),Lifetime ban,100,0,10,Ephedrine,EPO,,2008
153,Umberto,Macale,ITA,Italy,M,AAF,Clenbuterol & Furosemide,8/9/2014,2,2 years ineligibility,8/8/2016,2,0,10,Clenbuterol,Furosemide,,2014
154,,Schwazer,ITA,Italy,M,AAF,EPO,7/30/2012,3.75,3 years and 9 months ineligibility,4/29/2016,3.8,0,10,EPO,,,2012
